fecha,timestamp_maximo,hora,estacion_maximo,valor_original_ppb,bit,delta_ppb,valor_recibido_ppb,banda_original,banda_recibida,cambio_banda,contingencia_real_fase1,falsa_fase1,anulada_fase1,cruce_fase2_instantaneo,anulacion_fase2_instantanea,en_test_lstm
2025-01-11,2025-01-11 05:00:00,5,SAC,33,4,16,49,0,0,0,0,0,0,0,0,False
2025-01-11,2025-01-11 05:00:00,5,SAC,33,5,32,1,0,0,0,0,0,0,0,0,False
2025-01-11,2025-01-11 05:00:00,5,SAC,33,6,64,97,0,2,1,0,0,0,0,0,False
2025-01-11,2025-01-11 05:00:00,5,SAC,33,7,128,161,0,3,1,0,1,0,0,0,False
2025-01-12,2025-01-12 10:00:00,10,SAC,34,3,8,42,0,0,0,0,0,0,0,0,False
2025-01-12,2025-01-12 10:00:00,10,SAC,34,4,16,50,0,0,0,0,0,0,0,0,False
2025-01-12,2025-01-12 10:00:00,10,SAC,34,5,32,2,0,0,0,0,0,0,0,0,False
2025-01-12,2025-01-12 10:00:00,10,SAC,34,6,64,98,0,2,1,0,0,0,0,0,False
2025-01-12,2025-01-12 10:00:00,10,SAC,34,7,128,162,0,3,1,0,1,0,0,0,False
2025-01-13,2025-01-13 14:00:00,14,AJM,95,3,8,87,2,1,1,0,0,0,0,0,False
2025-01-13,2025-01-13 14:00:00,14,AJM,95,4,16,79,2,1,1,0,0,0,0,0,False
2025-01-13,2025-01-13 14:00:00,14,AJM,95,5,32,127,2,2,0,0,0,0,0,0,False
2025-01-13,2025-01-13 14:00:00,14,AJM,95,6,64,31,2,0,1,0,0,0,0,0,False
2025-01-13,2025-01-13 14:00:00,14,AJM,95,7,128,223,2,4,1,0,1,0,1,0,False
2025-01-14,2025-01-14 14:00:00,14,UIZ,93,3,8,85,2,1,1,0,0,0,0,0,False
2025-01-14,2025-01-14 14:00:00,14,UIZ,93,4,16,77,2,1,1,0,0,0,0,0,False
2025-01-14,2025-01-14 14:00:00,14,UIZ,93,5,32,125,2,2,0,0,0,0,0,0,False
2025-01-14,2025-01-14 14:00:00,14,UIZ,93,6,64,29,2,0,1,0,0,0,0,0,False
2025-01-14,2025-01-14 14:00:00,14,UIZ,93,7,128,221,2,4,1,0,1,0,1,0,False
2025-01-15,2025-01-15 15:00:00,15,MER,106,3,8,98,2,2,0,0,0,0,0,0,False
2025-01-15,2025-01-15 15:00:00,15,MER,106,4,16,122,2,2,0,0,0,0,0,0,False
2025-01-15,2025-01-15 15:00:00,15,MER,106,5,32,74,2,1,1,0,0,0,0,0,False
2025-01-15,2025-01-15 15:00:00,15,MER,106,6,64,42,2,0,1,0,0,0,0,0,False
2025-01-15,2025-01-15 15:00:00,15,MER,106,7,128,234,2,4,1,0,1,0,1,0,False
2025-01-16,2025-01-16 14:00:00,14,CHO,93,3,8,85,2,1,1,0,0,0,0,0,False
2025-01-16,2025-01-16 14:00:00,14,CHO,93,4,16,77,2,1,1,0,0,0,0,0,False
2025-01-16,2025-01-16 14:00:00,14,CHO,93,5,32,125,2,2,0,0,0,0,0,0,False
2025-01-16,2025-01-16 14:00:00,14,CHO,93,6,64,29,2,0,1,0,0,0,0,0,False
2025-01-16,2025-01-16 14:00:00,14,CHO,93,7,128,221,2,4,1,0,1,0,1,0,False
2025-01-17,2025-01-17 15:00:00,15,CCA,108,3,8,100,2,2,0,0,0,0,0,0,False
2025-01-17,2025-01-17 15:00:00,15,CCA,108,4,16,124,2,2,0,0,0,0,0,0,False
2025-01-17,2025-01-17 15:00:00,15,CCA,108,5,32,76,2,1,1,0,0,0,0,0,False
2025-01-17,2025-01-17 15:00:00,15,CCA,108,6,64,44,2,0,1,0,0,0,0,0,False
2025-01-17,2025-01-17 15:00:00,15,CCA,108,7,128,236,2,4,1,0,1,0,1,0,False
2025-01-18,2025-01-18 14:00:00,14,TLA,95,3,8,87,2,1,1,0,0,0,0,0,False
2025-01-18,2025-01-18 14:00:00,14,TLA,95,4,16,79,2,1,1,0,0,0,0,0,False
2025-01-18,2025-01-18 14:00:00,14,TLA,95,5,32,127,2,2,0,0,0,0,0,0,False
2025-01-18,2025-01-18 14:00:00,14,TLA,95,6,64,31,2,0,1,0,0,0,0,0,False
2025-01-18,2025-01-18 14:00:00,14,TLA,95,7,128,223,2,4,1,0,1,0,1,0,False
2025-01-19,2025-01-19 13:00:00,13,CCA,109,3,8,101,2,2,0,0,0,0,0,0,False
2025-01-19,2025-01-19 13:00:00,13,CCA,109,4,16,125,2,2,0,0,0,0,0,0,False
2025-01-19,2025-01-19 13:00:00,13,CCA,109,5,32,77,2,1,1,0,0,0,0,0,False
2025-01-19,2025-01-19 13:00:00,13,CCA,109,6,64,45,2,0,1,0,0,0,0,0,False
2025-01-19,2025-01-19 13:00:00,13,CCA,109,7,128,237,2,4,1,0,1,0,1,0,False
2025-01-20,2025-01-20 14:00:00,14,CCA,79,3,8,71,1,1,0,0,0,0,0,0,False
2025-01-20,2025-01-20 14:00:00,14,CCA,79,4,16,95,1,2,1,0,0,0,0,0,False
2025-01-20,2025-01-20 14:00:00,14,CCA,79,5,32,111,1,2,1,0,0,0,0,0,False
2025-01-20,2025-01-20 14:00:00,14,CCA,79,6,64,15,1,0,1,0,0,0,0,0,False
2025-01-20,2025-01-20 14:00:00,14,CCA,79,7,128,207,1,4,1,0,1,0,1,0,False
2025-01-21,2025-01-21 15:00:00,15,PED,84,3,8,92,1,2,1,0,0,0,0,0,False
2025-01-21,2025-01-21 15:00:00,15,PED,84,4,16,68,1,1,0,0,0,0,0,0,False
2025-01-21,2025-01-21 15:00:00,15,PED,84,5,32,116,1,2,1,0,0,0,0,0,False
2025-01-21,2025-01-21 15:00:00,15,PED,84,6,64,20,1,0,1,0,0,0,0,0,False
2025-01-21,2025-01-21 15:00:00,15,PED,84,7,128,212,1,4,1,0,1,0,1,0,False
2025-01-22,2025-01-22 15:00:00,15,AJM,114,3,8,122,2,2,0,0,0,0,0,0,False
2025-01-22,2025-01-22 15:00:00,15,AJM,114,4,16,98,2,2,0,0,0,0,0,0,False
2025-01-22,2025-01-22 15:00:00,15,AJM,114,5,32,82,2,1,1,0,0,0,0,0,False
2025-01-22,2025-01-22 15:00:00,15,AJM,114,6,64,50,2,0,1,0,0,0,0,0,False
2025-01-22,2025-01-22 15:00:00,15,AJM,114,7,128,242,2,4,1,0,1,0,1,0,False
2025-01-23,2025-01-23 16:00:00,16,ATI,118,3,8,126,2,2,0,0,0,0,0,0,False
2025-01-23,2025-01-23 16:00:00,16,ATI,118,4,16,102,2,2,0,0,0,0,0,0,False
2025-01-23,2025-01-23 16:00:00,16,ATI,118,5,32,86,2,1,1,0,0,0,0,0,False
2025-01-23,2025-01-23 16:00:00,16,ATI,118,6,64,54,2,0,1,0,0,0,0,0,False
2025-01-23,2025-01-23 16:00:00,16,ATI,118,7,128,246,2,4,1,0,1,0,1,0,False
2025-01-24,2025-01-24 15:00:00,15,MPA,110,3,8,102,2,2,0,0,0,0,0,0,False
2025-01-24,2025-01-24 15:00:00,15,MPA,110,4,16,126,2,2,0,0,0,0,0,0,False
2025-01-24,2025-01-24 15:00:00,15,MPA,110,5,32,78,2,1,1,0,0,0,0,0,False
2025-01-24,2025-01-24 15:00:00,15,MPA,110,6,64,46,2,0,1,0,0,0,0,0,False
2025-01-24,2025-01-24 15:00:00,15,MPA,110,7,128,238,2,4,1,0,1,0,1,0,False
2025-01-25,2025-01-25 15:00:00,15,CUA,122,3,8,114,2,2,0,0,0,0,0,0,False
2025-01-25,2025-01-25 15:00:00,15,CUA,122,4,16,106,2,2,0,0,0,0,0,0,False
2025-01-25,2025-01-25 15:00:00,15,CUA,122,5,32,90,2,1,1,0,0,0,0,0,False
2025-01-25,2025-01-25 15:00:00,15,CUA,122,6,64,58,2,0,1,0,0,0,0,0,False
2025-01-25,2025-01-25 15:00:00,15,CUA,122,7,128,250,2,4,1,0,1,0,1,0,False
2025-01-26,2025-01-26 15:00:00,15,CUA,113,3,8,121,2,2,0,0,0,0,0,0,False
2025-01-26,2025-01-26 15:00:00,15,CUA,113,4,16,97,2,2,0,0,0,0,0,0,False
2025-01-26,2025-01-26 15:00:00,15,CUA,113,5,32,81,2,1,1,0,0,0,0,0,False
2025-01-26,2025-01-26 15:00:00,15,CUA,113,6,64,49,2,0,1,0,0,0,0,0,False
2025-01-26,2025-01-26 15:00:00,15,CUA,113,7,128,241,2,4,1,0,1,0,1,0,False
2025-01-27,2025-01-27 15:00:00,15,CHO,116,3,8,124,2,2,0,0,0,0,0,0,False
2025-01-27,2025-01-27 15:00:00,15,CHO,116,4,16,100,2,2,0,0,0,0,0,0,False
2025-01-27,2025-01-27 15:00:00,15,CHO,116,5,32,84,2,1,1,0,0,0,0,0,False
2025-01-27,2025-01-27 15:00:00,15,CHO,116,6,64,52,2,0,1,0,0,0,0,0,False
2025-01-27,2025-01-27 15:00:00,15,CHO,116,7,128,244,2,4,1,0,1,0,1,0,False
2025-01-28,2025-01-28 16:00:00,16,FAC,137,3,8,129,3,2,1,0,0,0,0,0,False
2025-01-28,2025-01-28 16:00:00,16,FAC,137,4,16,153,3,3,0,0,0,0,0,0,False
